Platform,Video URL,Comment,Engagement,Matched Keywords
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Charlie Kirk believed in free speech. He didn't believe hate speech should be a crime because who decides where the line is drawn?,0,hate speech
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,So why is it okay to say disrespectful and hateful speech. Towards others thag dont look the same. But mlk and malcolm x. Why was it okay for them to die the way did but not his death?,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Hey Bondi? Charlie Kirk was a free speech absolutist. This ain't gonna end well for you.,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,The USA public discourse is more and more absurd. Your country is full of crazies.,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"The same people that are complaining about ""cancel culture"" affecting them now, are very likely the same people that cheered cancel culture that got a man fired for what his father said, BEFORE he was even born.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,All I'm hearing is 'no hate speech unless it's about someone that's gay/trans/a woman/not white',0,hate speech
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"All this noise just adding to the noise already present. Someone needs to have a better take than just left vs right. Plus, Dear God, can we not use the man like this. He was a father and a husband, compassion please.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Rather than stir your audience to action y’all turn it to gossip,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Skipping all news on Kirk from now on. I genuinely don't care anymore. You didn't devote this amount of time to the minnesota gov shooter?,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"“There was a certain rich man, which was clothed in purple and fine linen, and fared sumptuously every day: and there was a certain beggar named Lazarus, which was laid at his gate, full of sores, and desiring to be fed with the crumbs which fell from the rich man's table: moreover the dogs came and licked his sores. And it came to pass, that the beggar died, and was carried by the angels into Abraham's bosom: the rich man also died, and was buried; and in hell he lift up his eyes, being in torments, and seeth Abraham afar off, and Lazarus in his bosom. And he cried and said, Father Abraham, have mercy on me, and send Lazarus, that he may dip the tip of his finger in water, and cool my tongue; for I am tormented in this flame.”
‭‭Luke‬ ‭16‬:‭19‬-‭24‬ ‭KJV‬‬
https://bible.com/bible/1/luk.16.19-24.KJV",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Guy looks like one of those bouncing dog figures ppl place on their dashboards,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Trump following North Korea,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Question for non-biased people here, and I want a legal attorney to take on this and provide a perspective. Can Trump actively use his executive power to use the government to ""crack down"" on speech he doesn't like to punish civilians in the wake of Kirk's death and criticisms being said on the late conservative figure? And is it grounds for legal action under US law? Just asking curiously. And why is Hasan Parker on Twitch not being looked at for his call to violence towards republican figures, what he says during streaming?",1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Are you fucking kidding me? We just saw the book release from Epstein‘s 50th birthday with the note that Trump claims doesn’t exist, and that was right after he was bitching to reporters about how he stopped being friends with the guy because he “stole” his 16 year old worker. That’s called human trafficking. And punish liberal groups?! His killer was a male white #republikkkan 🤣 let’s call this what it is: an obvious excuse to suppress our freedom of speech and an attempt to turn our democracy into a dictatorship. Reference history books ;)",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Refusing service to someone was a controversial decision in Denver back in 2016, back then the cakeshop case revolved around refusing service to a homosexual couple who was getting married. Any guess who championed that ruling?",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,There is no genocide in Gaza,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Removing slavery from a park famous for slavery defeats the purpose of the park. Nothing good will come from this like most of the changes Trump wants!,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,she needed to be fired. such women with victim mentality have no place in todays society... it's a waste of oxygen and blames everywhere for their failing or even when they succeed.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"The hour Charlie Kirk was assassinated. The first thing I saw online was someone saying, “I am glad someone finally shot that Nazi. It’s about time we started fighting back.” That’s not just hate speech that’s incitement to violence.",1,hate speech
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Pam Bondi corrected her statements and clarified that only those making threats or inciting violence ... essentially speech that is NOT protected.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,I think its crazy that this administration is doing batshit stuff just about every single day to the point that this has basically become a politics news channel.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Your hard on for spouting bullshit and spreading lies about Israel is getting tiresome,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"You guys in the states are crazy. 

Left: you can't use cancel culture that's our thing.

Right: you can't say free speech that's our thing.

Sounds like you both realized something... Never mind guess we got to wait for the South Park episode to explain the nuance.",2,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,Maybe learn the difference between free speech and free from consequence.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,What in the fuck is America lmfao,1,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,John Brown did nothing wrong.,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Every ""Democrat Party"" slight instead of the accurate ""Democratic Party"" sounds so cringe.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,It should be a litmus test of character judgement whether people think Kash Patel is good and normal person or not,0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,"Phil, I don't know what's going on anymore. I thought we were making progress to repair relations among Americans. But now? It just seems like the wedge just keeps getting driven deeper. I don't know who to believe or listen to anymore. I consider myself a moral conservative. But I don't want anything to do with any party. They all seem insane.",0,N/A
YouTube,https://www.youtube.com/watch?v=Zj1F3HzqnOE,we aren't allowed to have hate speech towards certain people and get censored but the moment someone says we should kill a group of people i.e. some minorities its allowed and when reported get a message back that says its not considered hate speech,0,hate speech
